class,term,weight
negative,again,2.18258542187426
negative,call,2.2920502118483923
negative,rude,2.3218878800735987
negative,been,2.3248797285145084
negative,bag,2.3267738331303534
negative,why,2.33577284969455
negative,and,2.4312391914907403
negative,luggage,2.4556687737769076
negative,on hold,2.4690537896624094
negative,delay,2.51959304221697
negative,hour,2.577837119864301
negative,nothing,2.634370801853988
negative,bags,2.6925523422601763
negative,cancelled,2.9538617128608573
negative,your,2.9862196939104426
negative,worst,3.126909414650193
negative,hours,3.1449400696583636
negative,delayed,3.804771349565628
negative,no,4.720740776024378
negative,not,5.396681224275068
neutral,usertoken do,1.6539203713961486
neutral,or,1.698845536604115
neutral,usertoken hi,1.7016009732846489
neutral,can you,1.7268016070106496
neutral,do,1.7592036998177059
neutral,dm,1.762673951572966
neutral,the email,1.7774008721230141
neutral,usertoken are,1.855916922428663
neutral,is numbertoken,1.9037663599957124
neutral,do you,1.912453574166915
neutral,tomorrow,1.95770860107989
neutral,is there,1.9768741448647327
neutral,hi,1.99687241955346
neutral,need,2.0063909060959895
neutral,usertoken,2.0402611313408077
neutral,is your,2.1640123478451123
neutral,usertoken can,2.177647677609573
neutral,usertoken any,2.271222359647053
neutral,usertoken when,2.3448716008499586
neutral,can,3.1084011573594266
positive,wonderful,2.2669311294622307
positive,always,2.2740156776394636
positive,excellent,2.29179846166736
positive,cool,2.3003446973443458
positive,nice,2.327829051805913
positive,happy,2.359350794333149
positive,cannot wait,2.4230869698212443
positive,usertoken love,2.5416464883929994
positive,the best,2.891135578882795
positive,best,3.006020332440802
positive,appreciate,3.021579236466718
positive,good,3.210950312718673
positive,thx,3.284328858464871
positive,amazing,3.8451771691062673
positive,thank,4.0619904879375905
positive,thank you,4.08624006797819
positive,love,4.4179676435977635
positive,awesome,4.877261244342298
positive,great,6.351366940171257
positive,thanks,6.650426993098904
