seed,neighbor,similarity
flight,flightled,0.7897119522094727
flight,mechanical,0.7652885913848877
flight,delayed,0.7650830149650574
flight,hve,0.7614331245422363
flight,flightations,0.7597970962524414
flight,flighted,0.7592641711235046
flight,anyhelp,0.75665283203125
flight,lax,0.7556170225143433
delay,receive,0.9250749945640564
delay,coin,0.9184539318084717
delay,bdl,0.9180870056152344
delay,laughter,0.9163796901702881
delay,tuesday,0.9128820300102234
delay,sellout,0.9125043749809265
delay,hence,0.9109684228897095
delay,based,0.9108408689498901
cancelled,prepared,0.8326486349105835
cancelled,informed,0.8229457139968872
cancelled,showing,0.8223146200180054
cancelled,suit,0.8213102221488953
cancelled,keeps,0.8211557865142822
cancelled,anyhelp,0.8207584619522095
cancelled,expired,0.8157888650894165
cancelled,notimpressed,0.8151481747627258
service,rep,0.8190243244171143
service,relations,0.8129523992538452
service,lou,0.8078876733779907
service,bible,0.7944508790969849
service,rethinking,0.7938340902328491
service,thanku,0.7845472097396851
service,shavon,0.7830777168273926
service,incredible,0.7815065383911133
bag,darrel,0.9249132871627808
bag,fraction,0.9225970506668091
bag,standby,0.9218223094940186
bag,pointless,0.9213237166404724
bag,answered,0.9210225939750671
bag,announce,0.9206796288490295
bag,jp,0.9192054271697998
bag,intentionally,0.9189289808273315
customer,charter,0.8052692413330078
customer,experience,0.7913174629211426
customer,rudest,0.7774314284324646
customer,forwarding,0.7718146443367004
customer,refused,0.7715389728546143
customer,brokenpromises,0.7640607357025146
customer,ever,0.7631951570510864
customer,staff,0.7628782987594604
thanks,smelly,0.8946914076805115
thanks,ruined,0.8932238817214966
thanks,receive,0.8929522037506104
thanks,benefit,0.8924978971481323
thanks,either,0.8917605876922607
thanks,generic,0.8909660577774048
thanks,sos,0.8908668756484985
thanks,taken,0.8901456594467163
late,regulation,0.8355436325073242
late,rd,0.8344637155532837
late,talking,0.8325772285461426
late,nearby,0.8315708637237549
late,nomorecheckedbags,0.8266398906707764
late,ams,0.8258949518203735
late,geg,0.824802041053772
late,operated,0.8237118721008301
